"indicador";"País [Año base]";"Rubro";"Años";"valor";"notas";"fuente";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"1995";"1856.16772299375";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"1996";"1978.76420181305";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"1997";"2087.02503480113";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"2007";"3390.56693087191";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"2008";"3392.18341628959";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"2009";"2983.9152675507";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"2010";"2773.79619314516";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"2011";"2724.88661430724";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"2012";"2829.45331048395";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"2013";"2823.79180655699";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"2014";"2953.76507118329";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"2015";"3075.66687890396";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Antigua y Barbuda [año base 2006]";"Producto interno bruto (PIB)";"2016";"3164.44106603138";"[5567] [6379]";"[1431]"
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital";"1994";"52446.885835337";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo";"1994";"51231.4251630402";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo del sector público";"1994";"4485.00724434211";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo del sector privado";"1994";"46746.4179186981";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo: Productos de la industria manufacturera";"1994";"20701.8557527379";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo: Activos intangibles, terrenos, construcciones, servicios de construcción";"1994";"30529.5694103024";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo (nacional)";"1994";"11847.909078539";"[4852] [6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo (importado)";"1994";"8853.94667419885";"[4852] [6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Producto interno bruto (PIB)";"1996";"256626.243055847";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital";"1997";"60422.9135339642";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo";"1997";"57047.4995705169";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo del sector público";"1997";"4492.98966589991";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo del sector privado";"1997";"52554.509904617";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo: Productos de la industria manufacturera";"1997";"23709.1839721473";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo: Activos intangibles, terrenos, construcciones, servicios de construcción";"1999";"31444.2342589084";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo (nacional)";"1999";"10316.1018695771";"[4852] [6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo (importado)";"1999";"11355.9793291521";"[6381] [4852]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Producto interno bruto (PIB)";"1999";"278369.013871718";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital";"2002";"27837.8148676088";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo";"2002";"26532.8741778426";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo del sector público";"2002";"1721.85128751277";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo del sector privado";"2002";"24811.0228903298";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo: Productos de la industria manufacturera";"2002";"8249.90377440956";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo: Activos intangibles, terrenos, construcciones, servicios de construcción";"2002";"18282.970403433";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo (nacional)";"2002";"5922.74183190045";"[4852] [6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo (importado)";"2002";"2327.1619425091";"[6381] [4852]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Producto interno bruto (PIB)";"2004";"279141.288631724";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital";"2005";"58262.4810285893";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo";"2005";"60458.4427818017";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo del sector público";"2005";"7238.88516256604";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo del sector privado";"2005";"53219.5576192356";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo: Productos de la industria manufacturera";"2005";"23072.7572474922";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital fijo (importado)";"2007";"20072.9721931272";"[4852] [6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Producto interno bruto (PIB)";"2007";"359169.902946371";"[6381]";""
"Producto interno bruto anual (PIB) por objeto del gasto a precios constantes en moneda nacional";"Argentina [año base 1993]";"Formación bruta de capital";"2008";"90930.8568652555";"[6381]";""
